epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,196.898,1.74206,2.5783,1.76049,0.00793,1.80141,0.19968,0.64674,0.18223,0.08615,0.17454,0.57065,0.14316,0.05075,1.75061,23.9883,1.92629,0.01083,0,0.0014654,0.0014654,0.0014654
29,203.745,1.72379,2.50388,1.7355,0.00726,1.68923,0.34243,0.66848,0.31623,0.15894,0.34274,0.64674,0.30384,0.13536,1.62292,4.90692,1.54633,0.00951,0,0.0014456,0.0014456,0.0014456
30,209.915,1.73342,2.58888,1.74175,0.01027,2.03487,0.34243,0.66848,0.31623,0.15894,0.34274,0.64674,0.30384,0.13536,1.62292,4.90692,1.54633,0.00951,0,0.0014258,0.0014258,0.0014258
31,217.198,1.67048,2.38807,1.65849,0.00848,1.4607,0.18211,0.6413,0.15947,0.08226,0.15374,0.53804,0.10813,0.03934,1.70589,13.3089,1.92948,0.0098,0,0.001406,0.001406,0.001406
32,222.497,1.72822,2.49194,1.60601,0.00742,1.44339,0.4845,0.6436,0.55846,0.29862,0.60092,0.47826,0.51531,0.26454,1.69793,4.21332,1.66082,0.01015,0,0.0013862,0.0013862,0.0013862
33,228.96,1.68893,2.49722,1.52637,0.0086,1.43991,0.4845,0.6436,0.55846,0.29862,0.60092,0.47826,0.51531,0.26454,1.69793,4.21332,1.66082,0.01015,0,0.0013664,0.0013664,0.0013664
34,234.406,1.62975,2.35553,1.4943,0.00816,1.50488,0.67404,0.64059,0.69379,0.37522,0.66908,0.63587,0.70318,0.43204,1.589,2.27968,1.53196,0.0096,0,0.0013466,0.0013466,0.0013466
35,241.788,1.67909,2.44452,1.4931,0.00868,1.6152,0.67404,0.64059,0.69379,0.37522,0.66908,0.63587,0.70318,0.43204,1.589,2.27968,1.53196,0.0096,0,0.0013268,0.0013268,0.0013268
36,251.88,1.61562,2.09952,1.38326,0.00678,1.46731,0.72719,0.70109,0.79227,0.46331,0.74395,0.69022,0.78141,0.48921,1.51749,1.90736,1.28635,0.0091,0,0.001307,0.001307,0.001307
37,258.175,1.62714,2.12731,1.35334,0.00706,1.35362,0.7659,0.76457,0.82491,0.48674,0.7659,0.76457,0.81981,0.51515,1.54309,1.80551,1.28613,0.00916,0,0.0012872,0.0012872,0.0012872
38,266.973,1.55449,2.07292,1.50574,0.00827,1.13561,0.7659,0.76457,0.82491,0.48674,0.7659,0.76457,0.81981,0.51515,1.54309,1.80551,1.28613,0.00916,0,0.0012674,0.0012674,0.0012674
39,277.593,1.57508,2.32147,1.41082,0.00856,1.42042,0.76723,0.77174,0.83384,0.50896,0.7652,0.7663,0.83212,0.53221,1.52801,1.70209,1.24403,0.00882,0,0.0012476,0.0012476,0.0012476
40,284.062,1.52372,2.01315,1.24142,0.00751,1.13787,0.76723,0.77174,0.83384,0.50896,0.7652,0.7663,0.83212,0.53221,1.52801,1.70209,1.24403,0.00882,0,0.0012278,0.0012278,0.0012278
41,289.541,1.47423,2.0341,1.22267,0.00713,1.24726,0.7413,0.77717,0.81653,0.51161,0.74817,0.78261,0.82027,0.53593,1.42492,1.65831,1.10387,0.0082,0,0.001208,0.001208,0.001208
42,294.85,1.4681,1.97093,1.17877,0.00678,1.10273,0.71866,0.80521,0.82999,0.53368,0.71981,0.80978,0.82614,0.52786,1.35632,1.62433,1.00525,0.00763,0,0.0011882,0.0011882,0.0011882
43,301.389,1.46842,1.9119,1.17119,0.007,1.28354,0.71866,0.80521,0.82999,0.53368,0.71981,0.80978,0.82614,0.52786,1.35632,1.62433,1.00525,0.00763,0,0.0011684,0.0011684,0.0011684
44,307.018,1.40337,1.83528,1.1045,0.0064,1.05361,0.77975,0.79348,0.87172,0.57283,0.77441,0.78804,0.86071,0.57291,1.2534,1.49797,0.96188,0.00678,0,0.0011486,0.0011486,0.0011486
45,313.899,1.41052,1.9331,1.12628,0.00668,1.07249,0.77975,0.79348,0.87172,0.57283,0.77441,0.78804,0.86071,0.57291,1.2534,1.49797,0.96188,0.00678,0,0.0011288,0.0011288,0.0011288
46,322.856,1.41026,1.92682,1.14604,0.00766,1.31872,0.84425,0.82489,0.907,0.59183,0.84425,0.82489,0.90594,0.58659,1.28232,1.4374,0.90477,0.00715,0,0.001109,0.001109,0.001109
47,330.218,1.40626,1.78179,1.04304,0.00665,1.16072,0.78334,0.84239,0.89649,0.57066,0.76722,0.82609,0.87266,0.55105,1.28204,1.50519,0.9011,0.0076,0,0.0010892,0.0010892,0.0010892
48,335.185,1.3929,1.8962,1.11959,0.00731,1.1586,0.78334,0.84239,0.89649,0.57066,0.76722,0.82609,0.87266,0.55105,1.28204,1.50519,0.9011,0.0076,0,0.0010694,0.0010694,0.0010694
49,340.752,1.41385,1.95338,1.09902,0.00737,1.00212,0.8302,0.79891,0.90938,0.61855,0.82964,0.79891,0.90018,0.61869,1.15676,1.33514,0.82017,0.00631,0,0.0010496,0.0010496,0.0010496
50,349.172,1.35292,1.78818,1.05693,0.00667,0.90188,0.8302,0.79891,0.90938,0.61855,0.82964,0.79891,0.90018,0.61869,1.15676,1.33514,0.82017,0.00631,0,0.0010298,0.0010298,0.0010298
51,354.594,1.41554,1.83794,1.20109,0.00721,1.03828,0.85551,0.79891,0.91164,0.61088,0.85551,0.79891,0.91138,0.61327,1.16496,1.28811,0.83524,0.00596,0,0.00101,0.00101,0.00101
52,360.774,1.37412,1.86014,1.09528,0.00694,1.00652,0.89737,0.78804,0.92088,0.65121,0.89357,0.77568,0.91261,0.63937,1.12337,1.26077,0.82415,0.0059,0,0.0009902,0.0009902,0.0009902
53,366.251,1.28679,1.54513,0.93873,0.00551,0.91725,0.89737,0.78804,0.92088,0.65121,0.89357,0.77568,0.91261,0.63937,1.12337,1.26077,0.82415,0.0059,0,0.0009704,0.0009704,0.0009704
54,373.537,1.37075,1.79718,1.01327,0.00647,0.93551,0.81813,0.83696,0.9134,0.63311,0.83038,0.79821,0.91004,0.64191,1.18214,1.19403,0.87569,0.00632,0,0.0009506,0.0009506,0.0009506
55,378.426,1.32861,1.58378,0.96636,0.00561,0.70881,0.81813,0.83696,0.9134,0.63311,0.83038,0.79821,0.91004,0.64191,1.18214,1.19403,0.87569,0.00632,0,0.0009308,0.0009308,0.0009308
