epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,502.391,1.18396,0.78368,0.00527,0.75831,0.80704,0.86537,0.60266,1.22523,0.90974,0.00897,0.0011882,0.0011882,0.0011882
43,510.629,1.14614,0.72975,0.00582,0.79305,0.81956,0.8913,0.61044,1.12342,0.78465,0.0077,0.0011684,0.0011684,0.0011684
44,522.456,1.13583,0.73873,0.00461,0.77434,0.82315,0.88972,0.61161,1.13649,0.92396,0.00779,0.0011486,0.0011486,0.0011486
45,532.574,1.12525,0.7047,0.00534,0.76811,0.83291,0.88095,0.60568,1.12629,0.88962,0.00797,0.0011288,0.0011288,0.0011288
46,542.705,1.15558,0.6769,0.00492,0.82584,0.82081,0.90409,0.63902,1.13613,0.68763,0.008,0.001109,0.001109,0.001109
47,552.3,1.12831,0.69134,0.00493,0.86308,0.76516,0.89882,0.62751,1.18181,0.85294,0.00827,0.0010892,0.0010892,0.0010892
48,564.034,1.11071,0.69145,0.0051,0.75678,0.80937,0.83903,0.55877,1.21341,1.0833,0.00824,0.0010694,0.0010694,0.0010694
49,571.863,1.13535,0.72479,0.00564,0.80672,0.82031,0.89616,0.63401,1.13159,0.71011,0.00783,0.0010496,0.0010496,0.0010496
50,582.532,1.09328,0.67196,0.00471,0.81108,0.79769,0.88443,0.61034,1.18203,0.79705,0.00818,0.0010298,0.0010298,0.0010298
51,594.979,1.07393,0.65849,0.00473,0.77223,0.76429,0.8571,0.59329,1.17478,0.98581,0.00813,0.00101,0.00101,0.00101
52,607.872,1.10904,0.66041,0.0051,0.80437,0.81214,0.8844,0.62019,1.14271,0.72171,0.00777,0.0009902,0.0009902,0.0009902
53,616.923,1.0946,0.68581,0.00453,0.79714,0.84971,0.89607,0.6375,1.11913,0.74351,0.00766,0.0009704,0.0009704,0.0009704
54,629.028,1.10976,0.66632,0.00462,0.82773,0.80545,0.88781,0.62679,1.1441,0.78733,0.00772,0.0009506,0.0009506,0.0009506
55,638.642,1.08255,0.64196,0.00458,0.76255,0.8526,0.88666,0.62478,1.15248,0.73712,0.00797,0.0009308,0.0009308,0.0009308
56,647.834,1.09799,0.65375,0.00469,0.77456,0.85399,0.8897,0.62414,1.13181,0.76988,0.0077,0.000911,0.000911,0.000911
57,659.957,1.05005,0.65709,0.00484,0.76968,0.83062,0.87956,0.62634,1.12212,0.79531,0.00766,0.0008912,0.0008912,0.0008912
58,670.408,1.07395,0.62336,0.00432,0.80517,0.80636,0.87724,0.59602,1.21756,0.7683,0.00835,0.0008714,0.0008714,0.0008714
59,679.463,1.09174,0.5833,0.00495,0.77981,0.82909,0.87434,0.61097,1.16948,0.85108,0.00815,0.0008516,0.0008516,0.0008516
60,690.449,1.07376,0.6235,0.00452,0.7956,0.83247,0.88508,0.63334,1.12381,0.85565,0.0076,0.0008318,0.0008318,0.0008318
61,700.832,1.07019,0.60543,0.00506,0.80564,0.83526,0.89104,0.63744,1.12518,0.75938,0.00776,0.000812,0.000812,0.000812
62,709.254,1.04729,0.59386,0.00493,0.75768,0.87658,0.88656,0.63786,1.09206,0.77285,0.00736,0.0007922,0.0007922,0.0007922
63,720.86,1.00429,0.5606,0.00469,0.81566,0.80569,0.89378,0.64429,1.09925,0.79353,0.0075,0.0007724,0.0007724,0.0007724
64,730.73,1.05303,0.66624,0.00506,0.83234,0.80348,0.90091,0.65452,1.11445,0.72535,0.00772,0.0007526,0.0007526,0.0007526
65,743.251,1.00882,0.59466,0.00476,0.79512,0.80347,0.88934,0.63662,1.11088,0.80337,0.00756,0.0007328,0.0007328,0.0007328
66,751.311,1.07079,0.65369,0.00573,0.76447,0.81614,0.87053,0.62315,1.10607,0.88081,0.00753,0.000713,0.000713,0.000713
67,767.531,0.97892,0.56239,0.00422,0.78385,0.81792,0.87973,0.62659,1.08556,0.77135,0.00732,0.0006932,0.0006932,0.0006932
68,777.452,1.04727,0.6063,0.00468,0.85546,0.76301,0.88811,0.63611,1.07448,0.76392,0.00729,0.0006734,0.0006734,0.0006734
69,785.617,1.01367,0.61224,0.00425,0.79463,0.79191,0.88031,0.62891,1.09071,0.86188,0.00742,0.0006536,0.0006536,0.0006536
70,796.021,1.00226,0.6319,0.00474,0.80354,0.79202,0.87929,0.63263,1.08363,0.7615,0.00726,0.0006338,0.0006338,0.0006338
71,808.578,0.9826,0.57477,0.00416,0.80004,0.81503,0.89068,0.63925,1.08796,0.69678,0.00729,0.000614,0.000614,0.000614
72,819.764,1.00402,0.58186,0.00426,0.79776,0.84367,0.89572,0.645,1.08359,0.70992,0.00733,0.0005942,0.0005942,0.0005942
73,831.53,0.95723,0.53439,0.0043,0.76807,0.85549,0.8736,0.62395,1.09645,0.81557,0.00738,0.0005744,0.0005744,0.0005744
74,842.113,0.98642,0.52185,0.00453,0.85051,0.78902,0.88456,0.63392,1.1126,0.75746,0.00751,0.0005546,0.0005546,0.0005546
75,851.804,0.95584,0.53646,0.00444,0.84894,0.7948,0.89701,0.64138,1.10967,0.71942,0.0075,0.0005348,0.0005348,0.0005348
76,860.536,0.97785,0.56797,0.00423,0.86819,0.78035,0.90264,0.64623,1.09295,0.72236,0.00739,0.000515,0.000515,0.000515
77,870.122,1.01775,0.55011,0.00473,0.86025,0.76879,0.89227,0.64425,1.09365,0.75807,0.00755,0.0004952,0.0004952,0.0004952
78,881.342,0.95104,0.5313,0.00424,0.84633,0.76301,0.88163,0.62654,1.10325,0.75282,0.0075,0.0004754,0.0004754,0.0004754
79,890.312,0.96171,0.52912,0.0042,0.8161,0.77168,0.87987,0.62632,1.09873,0.74601,0.00742,0.0004556,0.0004556,0.0004556
80,901.66,0.9678,0.55465,0.00446,0.82976,0.76012,0.88365,0.63288,1.1009,0.74006,0.00743,0.0004358,0.0004358,0.0004358
81,911.652,0.97894,0.55096,0.004,0.83714,0.76301,0.88419,0.63453,1.1056,0.74758,0.00743,0.000416,0.000416,0.000416
82,919.884,0.99581,0.54831,0.00477,0.76635,0.83418,0.88186,0.62902,1.09158,0.76409,0.0074,0.0003962,0.0003962,0.0003962
83,929.346,0.97732,0.51645,0.00415,0.76346,0.82081,0.87814,0.62691,1.09957,0.78659,0.00751,0.0003764,0.0003764,0.0003764
84,941.107,0.95166,0.53626,0.00439,0.78019,0.83237,0.88316,0.63231,1.09519,0.8101,0.00738,0.0003566,0.0003566,0.0003566
